CustomerID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
12348,2.27138919215042,-1.3683131514291231,0.18007236587968983,-0.39345493548166216,-0.38183561835184915,0.7053372604861291,1.3583458041129552,-0.8795585653342434,0.598788957335544,0.050278071879099114,-0.01517144229293751,0.3416937192245826,-0.03184574884717163,0.167869634694698,0.0026891986676926367,0.09895718459553363,0.178166749541002,0.9732042169373898,-0.07975933217909938,2.4310782786798158e-14,1.6761571100764857e-17
12350,-1.7031277142500048,-0.11773274696143288,0.18111033851348535,0.7234489765300082,0.025667967830201283,0.027901374654933763,9.424026116409741e-05,-0.16577159458752305,0.8205825716694763,0.04284579346723966,-0.010775155724480774,0.3081737379345104,-0.022789948192252683,0.12608745011861072,-0.00012110785409297005,0.05862104470379635,0.07906754665741104,0.10559676655177969,1.0227371530275349,-2.717443219931719e-17,1.2067667396765772e-16
12352,0.46950317330705227,1.823221252442918,0.32873366288297046,-0.9730519402009187,-0.2893726595166994,-0.0872942447853327,-0.1320034471268082,-0.26706343583738035,0.8102498789435926,0.12405992016386644,-0.022942082671395553,0.30813823560409404,-0.024552994463925767,0.12423288791194194,-0.0006751163331044415,0.05991945163984278,0.08070121559821765,0.10211731607206945,1.0205989371513995,-2.476469606780781e-18,1.1757235039450402e-16
12354,-0.738601175999448,-2.072835867652896,1.614014302443337,0.13110428324357062,0.5175002755703776,-0.1997772905164499,-0.23489040922355653,-0.32243020445803405,0.773642518253296,0.010864113857885542,-0.023430516794729274,0.6127292748696529,-0.7031408702553512,-0.43545145054737644,0.0011297214871529852,-0.06599112746718819,-0.04716754858257747,-0.030613771920899452,-0.016053527255171462,1.9524057798599106e-16,-5.713180713415805e-17
12356,4.543231903118224,-5.282923552769452,3.153172491631272,-1.4212366288914735,-1.2590743995597908,0.02417042179862359,-0.367149732226412,-0.9192317011143297,0.432628472081126,-0.4094092729789834,-0.0597516851144539,0.40599914122549846,-0.04912097249833578,0.5441494597805132,-0.7048499037125039,-0.3080777326489994,-0.12807215882617506,-0.06195494698415148,-0.03450909784769246,-6.418813935733362e-17,2.2677527344317494e-16
12358,-1.5921610220954252,-0.39001301648223974,0.3875580950519949,0.6290041502023423,0.08261144144786417,-0.020864067739160337,-0.07833159831347027,-0.17460252004918628,0.8266662304033843,0.03587480698593159,-0.01364147585853069,0.3688000772190739,-0.033818667467573976,0.2200595227284103,-0.0007503451426674377,0.17557138415659862,0.9377215588674938,-0.20615793669800853,-0.04484602012574444,2.106617701088165e-18,-1.7766950460043357e-16
12360,2.1984229775508037,-3.5441176014029563,2.113142855523734,-1.3954203645363432,-0.27697508744241567,-0.1286331278385724,-0.36298393822208014,-0.3497301606929779,0.6558732083493855,-0.14304797167940012,-0.03323709119428857,0.34799771123065854,-0.0317109153211852,0.21487358478995275,0.0011955271887852763,0.17875451764453065,0.9370552029917378,-0.21118186967558628,-0.05134878132453246,-8.806035321292364e-18,-4.2041547799867015e-17
12361,-1.8593530413139658,0.17940307156722704,-0.03518919261640179,0.8083511864532749,-0.05000979942998624,0.05601441918208943,0.019301894551385694,-0.15522054833269408,0.8912150762208677,0.04888983327174897,-0.015076877354996104,0.6699977701409677,0.7090520542459953,-0.33772026056919374,-0.0013885811768166588,-0.05406647044416241,-0.04214585932760902,-0.024526130746103127,-0.012347510047715166,-7.569191274350798e-17,-1.7277945749323194e-16
12362,1.5667394440922982,0.34672336656440506,-0.6840626757040176,-0.21499663785345818,-0.3260047634239406,0.12988590377508552,-0.013451201335035926,-0.3062370683663441,0.836874861423251,-0.22933005486252986,-0.031466301040389826,0.6664905445757562,0.7107430734963824,-0.3390395815774329,-0.002378569479913231,-0.04949075035812746,-0.041143330710604775,-0.022999934793249407,-0.014827656223576288,7.020249543120034e-17,-9.794022015320315e-16
12364,0.3302371173651905,-3.982364419564666,2.976400889015737,-0.3714108278208275,1.0616487135723351,-0.3227309442383663,-0.2182178629914688,-0.5853751644107041,0.6542366545495398,0.01093422576608946,-0.032644357534748904,0.6497671687543373,0.7041348931449538,-0.33800322195559207,0.0029620280507292123,-0.05503051070919862,-0.043192603382482334,-0.0302097936290862,-0.01709604256253983,3.384495332070965e-17,-1.3378720789923933e-16
